BARGAINTERMS_PRICE;PRICE_SQM;FLOORS_MAX;ROOMSCOUNT;TOTALAREA;LIVINGAREA;KITCHENAREA;REPAIRTYPE;COMBINEDWCSCOUNT;SEPARATEWCSCOUNT;BALCONIESCOUNT;LOGGIASCOUNT
11275000;148355;30;3;76;;10,9;требуется ремонт;0;2;0;1
8400000;186404;;2;45,6;30,2;6,5;косметический ремонт;0;1;1;0
5888500;133830;;2;44;24;8;косметический ремонт;1;;;1
7800000;109091;23;2;71,5;34;16;требуется ремонт;0;2;0;1
5200000;133333;;1;39;13,5;15,6;дизайнерский ремонт;1;;;
5500000;157910;17;1;34,83;14;;евроремонт;1;;;
9300000;177820;;2;52,3;30,3;9;косметический ремонт;;1;;1
4900000;153125;8;1;32;;12;требуется ремонт;0;1;1;0
7500000;174014;8;2;43,1;26,8;16,9;евроремонт;0;0;1;0
5000000;132626;17;1;37,7;;15,4;требуется ремонт;0;1;1;0
6700000;162413;8;2;43,1;;16,9;евроремонт;0;1;1;0
8200000;221622;;1;37;18;7;косметический ремонт;1;;;1
5100000;124027;;1;41,12;17,1;12,4;требуется ремонт;;1;1;
4350000;95018;;2;54,2;26;9,1;требуется ремонт;0;1;0;1
4300000;174797;;;24,6;;;требуется ремонт;1;0;0;0
7050000;125000;26;2;58;28,1;14;евроремонт;0;1;1;0
5600000;140587;19;1;40,9;18,1;8,4;косметический ремонт;1;;1;
5200000;148571;18;1;35;14;10;евроремонт;1;;;
3900000;159259;16;;27;12;5,3;требуется ремонт;1;;;
5250000;150000;8;1;35;15,5;8,5;требуется ремонт;1;;1;
9200000;116456;23;2;79;38;12,7;требуется ремонт;2;0;0;1
9400000;117500;23;2;80;37;13;требуется ремонт;2;0;0;1
9100000;233333;;1;39;21;9;евроремонт;;;;
5500000;119565;;2;46;28;6;евроремонт;0;1;1;0
12400000;118538;23;3;112,2;68,5;12,7;требуется ремонт;2;1;0;1
13000000;176152;;3;73,8;44,8;10,1;евроремонт;0;1;1;0
4900000;120988;5;1;40,5;20;10;;;;;
6500000;180556;18;1;36;17;12;косметический ремонт;;1;;
9800000;122961;9;3;79,7;47,3;13,4;требуется ремонт;0;1;1;0
7300000;104286;;4;70;51,5;7,1;косметический ремонт;0;1;0;1
5200000;146067;;1;35,6;16,5;9;евроремонт;1;;;1
7650000;124390;8;2;61,5;26,5;8;требуется ремонт;0;1;0;1
6850000;153061;;2;50;23;9;евроремонт;1;;1;
7200000;126316;18;2;57;29;14;косметический ремонт;;1;;1
5300000;115217;;2;46;;;косметический ремонт;;;;
4000000;66667;;2;60;;;косметический ремонт;1;;;
4900000;147861;17;1;34,83;14;;евроремонт;1;;;
6800000;98408;;4;69,1;52;7,3;косметический ремонт;;1;1;
6650000;162195;14;1;41;20;10;требуется ремонт;0;1;0;1
5000000;121951;19;1;41;18;;требуется ремонт;1;;;
6300000;115809;;3;54,4;33,8;7,2;косметический ремонт;;1;;1
8000000;157692;4;2;52;;10,8;дизайнерский ремонт;0;1;1;0
7500000;207792;30;2;38,5;;;евроремонт;0;0;1;0
5600000;102975;;3;54,5;38;6,3;косметический ремонт;1;1;1;
15500000;198718;;3;78;60;16;евроремонт;0;1;1;0
9100000;175000;;2;52;30;8,6;требуется ремонт;;1;;1
4200000;140000;4;1;30;;;;;;;
5750000;140587;19;1;40,9;20;7;;0;0;1;0
5000000;166667;26;;30;15;10;евроремонт;1;0;1;0
12000000;210526;;2;57;34;10,5;;;;0;0
4200000;145000;4;1;30;14;11;косметический ремонт;1;;2;
10200000;200000;;2;51;29,3;15;косметический ремонт;;1;0;1
7050000;128182;18;2;55;29;14;косметический ремонт;0;1;1;0
4550000;109113;;1;41,7;20,5;10;косметический ремонт;;1;;1
7250000;125000;26;2;58;28;14;евроремонт;;1;1;
4400000;200000;;1;23;;;евроремонт;1;0;1;0
7300000;103546;;3;70,5;42;11;косметический ремонт;;2;1;
7000000;127846;18;2;57,1;28;14,5;евроремонт;;1;;1
3450000;134241;18;;25,7;13,9;8;евроремонт;1;0;0;1
6800000;146868;8;2;46,3;26,8;8;требуется ремонт;0;1;1;0
9400000;266017;26;1;35,9;10;17;дизайнерский ремонт;0;0;0;0
3450000;99429;;1;35;20;6;;0;1;1;0
7500000;129310;23;1;58;;;требуется ремонт;0;0;0;1
6000000;139535;19;1;43;18,1;8,4;евроремонт;1;;;1
8400000;110526;17;3;76;;12;косметический ремонт;0;1;1;0
6500000;153333;8;2;45;;8,6;требуется ремонт;0;1;1;0
